Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_5     57.971001       12.423204       82.662003       188.399994     
FLOW_OUT_5     64.899002       68.040001       137.052002      186.300003     
FLOW_OUT_5     67.670998       79.735001       200.727356      182.699997     
FLOW_OUT_5     72.389999       139.456253      314.726685      186.100006     
FLOW_OUT_8     112.944000      112.349998      313.739990      111.400002     
FLOW_OUT_8     105.222000      206.699997      519.200012      122.699997     
FLOW_OUT_8     103.369003      105.538940      241.309982      120.599998     
FLOW_OUT_8     91.036003       69.620003       180.084000      113.699997     
FLOW_OUT_8     87.105003       48.889675       134.852005      115.800003     
FLOW_OUT_8     78.115997       10.672809       113.045753      115.800003     
FLOW_OUT_8     75.105003       7.049476        94.018608       115.800003     
FLOW_OUT_8     73.210999       6.709506        71.864014       115.400002     
FLOW_OUT_8     71.160004       6.251960        49.543598       114.699997     
FLOW_OUT_8     75.094002       18.611666       45.835999       114.099998     
FLOW_OUT_8     88.259003       48.287998       123.669327      114.599998     
FLOW_OUT_8     87.797997       61.365002       122.993546      114.599998     
FLOW_OUT_8     129.858002      169.315613      775.428406      148.399994     
FLOW_OUT_8     155.647995      261.140015      546.086670      128.699997     
FLOW_OUT_8     147.194000      297.239990      482.538788      145.199997     
FLOW_OUT_8     110.485001      59.665325       274.520752      127.800003     
FLOW_OUT_8     90.204002       26.822104       183.573990      127.400002     
FLOW_OUT_8     83.683998       18.679928       147.916245      126.900002     
FLOW_OUT_8     80.334000       14.430555       126.826668      126.400002     
FLOW_OUT_8     77.265999       12.089822       104.237213      125.599998     
FLOW_OUT_8     74.030998       10.196830       89.814903       124.500000     
FLOW_OUT_8     76.908997       24.288906       73.584999       123.400002     
FLOW_OUT_8     81.560997       33.572498       173.732544      122.000000     
FLOW_OUT_8     101.570999      79.049995       259.193329      121.400002     
FLOW_OUT_8     105.047997      147.079178      301.150024      139.600006     
FLOW_OUT_8     128.138000      227.266663      497.157196      167.100006     
FLOW_OUT_8     140.587006      333.206665      568.388000      182.800003     
FLOW_OUT_8     112.709000      167.641129      304.197479      133.000000     
FLOW_OUT_8     108.882004      156.587494      276.479980      150.000000     
FLOW_OUT_8     87.605003       24.472769       182.945755      136.300003     
FLOW_OUT_8     80.146004       13.941466       131.616272      136.300003     
FLOW_OUT_8     76.474998       11.610855       122.048744      136.100006     
FLOW_OUT_8     75.398003       10.605968       98.153008       135.800003     
FLOW_OUT_8     73.635002       11.738564       73.264999       135.000000     
FLOW_OUT_8     96.782997       147.866669      334.831635      202.100006     
FLOW_OUT_8     110.621002      187.512497      388.757294      198.800003     
FLOW_OUT_8     89.346001       38.598381       163.020996      143.600006     
FLOW_OUT_8     103.124001      43.892334       126.764015      147.100006     
FLOW_OUT_8     117.204002      115.739998      232.619995      146.000000     
FLOW_OUT_8     132.126007      133.270828      342.573303      143.399994     
FLOW_OUT_8     90.542999       27.509363       151.556992      143.199997     
FLOW_OUT_8     78.241997       14.191033       118.441513      140.600006     
FLOW_OUT_8     74.651001       9.245187        95.885162       137.699997     
FLOW_OUT_8     70.986000       6.512606        73.715698       134.699997     
