Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46830000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46830000;1;01/01/2017;;1;1;92,643;61,457;75,487;27;10;1;1;1;;0;61,897;61,897;61,897;61,897;61,897;61,897;61,897;62,338;61,897;61,457;63,666;63,666;71,372;77,461;80,809;82,258;81,774;81,291;80,809;80,809;78,89;78,89;83,229;85,183;86,165;86,658;92,643;92,643;91,134;91,134;90,633;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/12/2016;;1;1;92,139;61,457;72,39;19;3;1;1;1;;0;63,222;61,897;61,457;63,222;63,666;63,666;64,557;68,163;69,075;69,532;70,45;73,227;76,987;78,89;81,774;84,693;88,142;90,633;92,139;91,636;88,638;82,258;74,63;70,91;67,709;65,902;64,557;64,557;63,666;62,338;61,897;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/11/2016;;1;1;90,133;54,989;67,671;24;8;1;1;1;;0;60,144;60,144;58,841;57,547;56,69;56,69;55,837;54,989;54,989;54,989;54,989;55,837;61,457;61,457;62,779;65,453;69,075;69,991;73,227;76,987;81,291;87,646;89,634;90,133;86,658;83,229;78,89;75,099;69,991;65,453;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/10/2016;;1;1;69,991;60,144;64,899;12;19;1;1;1;;0;68,163;69,075;69,075;68,163;65,004;64,111;62,779;63,222;65,453;66,803;68,618;69,991;68,618;67,709;66,803;64,111;62,338;60,581;60,144;60,144;61,897;61,018;64,111;66,352;68,163;66,352;65,453;64,557;62,338;60,581;60,144;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/09/2016;;1;1;67,709;55,837;57,971;30;17;1;1;1;;0;57,547;57,547;57,547;57,547;57,547;57,547;57,547;57,547;57,547;56,69;56,69;56,69;56,69;56,69;56,69;56,263;55,837;55,837;56,263;56,69;56,69;55,837;56,263;56,69;57,547;59,708;61,018;61,897;66,803;67,709;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/08/2016;;1;1;60,144;57,547;58,675;3;23;1;1;1;;0;59,274;59,274;60,144;59,708;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;59,274;58,408;58,408;58,408;58,408;58,408;57,547;57,547;57,547;57,547;57,547;57,547;57,547;57,547;57,547;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/07/2016;;1;1;61,897;59,274;60,851;1;30;1;1;1;;0;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,457;61,018;61,018;61,018;61,018;61,018;61,018;61,018;60,581;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;59,274;59,274;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/06/2016;;1;1;63,666;61,897;63,209;1;26;1;1;1;;0;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,222;62,779;62,779;62,779;62,779;62,779;61,897;61,897;61,897;61,897;61,897;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/05/2016;;1;1;65,453;63,666;64,098;5;13;1;1;1;;0;64,557;64,557;64,557;64,557;65,453;65,453;65,453;65,004;64,557;64,557;64,557;64,111;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/04/2016;;1;1;71,372;64,557;67,734;1;27;1;1;1;;0;71,372;70,91;70,45;69,075;68,163;68,163;67,255;67,255;67,709;68,618;69,532;69,991;69,991;69,991;69,075;69,075;69,075;68,163;67,709;66,803;66,352;66,352;66,352;65,453;65,453;65,453;64,557;64,557;64,557;64,557;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
